"","comuna_name","year","geography_unit","weighted_mean_income","weighted_median_income","weighted_gini_income","lb_weighted_mean_income","ub_weighted_mean_income","lb_weighted_median_income","ub_weighted_median_income","lb_weighted_gini_income","ub_weighted_gini_income"
"219","Casablanca",1998,3,57305,38315,0.433,52208,63086,35206,43300,0.401,0.469
"220","Casablanca",2009,3,139484,106963,0.384,126835,151490,103046,110072,0.343,0.426
"221","Casablanca",2003,3,77050,53469,0.415,70741,83632,51836,60092,0.373,0.452
"222","Casablanca",2011,3,165732,103082,0.452,140868,188010,90918,112798,0.381,0.514
"223","Casablanca",1994,3,40935,30952,0.443,37571,45270,27790,32591,0.41,0.47
"224","Casablanca",2006,3,132946,91783,0.468,122977,146055,86219,94477,0.438,0.497
"225","Casablanca",2000,3,59966,46717,0.381,56378,65067,43444,47996,0.352,0.401
"226","Castro",2009,3,144196,110764,0.394,134103,153804,107036,118046,0.369,0.421
"227","Castro",2015,3,227209,149435,0.456,214569,240630,144832,153616,0.434,0.481
"228","Castro",2011,3,215923,142885,0.508,181417,248803,125184,158630,0.441,0.554
"229","Castro",2003,3,120656,62963,0.526,110994,131665,58743,69221,0.5,0.55
"230","Castro",1996,3,69486,36152,0.552,61034,80444,32589,42203,0.511,0.591
"231","Castro",1990,3,39161,14873,0.641,34825,42780,14376,15753,0.615,0.663
"232","Castro",1994,3,74563,38562,0.537,68915,80428,37033,42033,0.511,0.558
"233","Castro",1998,3,90522,52495,0.531,82364,98388,49162,55970,0.502,0.553
"234","Castro",2000,3,110304,48813,0.602,99089,122083,44368,52920,0.577,0.633
"235","Castro",1992,3,54163,30330,0.544,50051,59727,27428,31112,0.517,0.567
"236","Castro",2006,3,168588,101299,0.485,154106,181559,94179,111968,0.461,0.507
"237","Catemu",2009,3,125624,97735,0.349,117562,138143,95526,104531,0.317,0.402
"238","Catemu",2011,3,165359,117510,0.395,142929,192159,101842,131256,0.328,0.452
"239","Catemu",2006,3,98395,70239,0.416,90934,104810,68716,74379,0.384,0.444
"240","Cauquenes",1996,3,99298,47920,0.592,88231,111658,45440,51763,0.553,0.628
"241","Cauquenes",2011,3,143300,104771,0.431,127845,156925,89483,112632,0.39,0.463
"242","Cauquenes",1998,3,114709,66316,0.5,107609,124308,62501,67708,0.478,0.523
"243","Cauquenes",2000,3,133995,79754,0.508,126254,147101,76217,89704,0.483,0.534
"244","Cauquenes",2009,3,138586,82992,0.509,118089,165274,76955,88374,0.431,0.581
"245","Cauquenes",1990,3,32303,18120,0.525,30515,34254,17401,19445,0.511,0.545
"246","Cauquenes",2003,3,135349,72028,0.581,116490,177417,68011,75882,0.51,0.682
"247","Cauquenes",1994,3,60542,40508,0.471,57052,63879,38787,42874,0.455,0.487
"248","Cauquenes",2006,3,83787,57064,0.441,77924,92696,53172,60838,0.407,0.485
"249","Cauquenes",1992,3,52259,27611,0.543,49021,54947,26034,29050,0.525,0.556
"250","Cauquenes",2015,3,160374,128667,0.352,150651,167589,122215,131460,0.327,0.377
"251","Cerrillos",2003,3,175135,121075,0.447,165470,184913,108884,135753,0.429,0.469
